class,embedding
EmmaStone,"[ 0.3967328   0.97063076  0.41961575  0.2205728  -0.7692692  -0.09778576
  0.06809548  0.04672535 -0.03121692  1.3934977  -0.56891316 -0.8993377
 -0.33779818  0.84874463 -0.9667001  -0.6097244  -0.6700463  -1.516683
  0.0497598   1.21195     1.6600084  -0.61534506  0.201864    0.2588263
 -1.2668482   0.05859685 -0.58069444  0.41096112  1.1511893  -0.78884923
  0.23868044  0.5805836   1.542947    0.5111555   0.17444906  0.43805975
 -0.6681814  -0.748092    1.7321279   0.58492756 -0.53627384  0.73914236
 -0.830389   -1.2295861  -0.59359705  0.7363605  -1.8803337   1.887411
 -0.9076738  -1.731755    0.95320874  2.3589368  -2.1741266   0.8113296
 -0.891306    2.1759338   0.08625761  0.17388488 -0.5020295  -0.56653106
 -0.8090915   0.27251297 -0.24298495  0.12330312 -0.3002859   0.11410187
  0.9950116   1.1400436   1.2625066  -0.2632457  -0.7271587  -1.162272
  1.0527991  -0.722398    0.34455746  0.22019096 -0.06540984 -1.6676203
 -1.6735772  -1.24923     2.1984682  -0.58634794  1.0002697  -0.27832642
 -1.0531831  -0.38586375 -0.87005085  0.75142545 -0.00762311  0.28640258
 -0.798589    0.46008497  1.6931148   0.7847836  -0.3875612   0.57249826
  0.18506233 -1.3336364  -0.28437656  1.0182314  -1.8710486   0.9898936
 -1.4995682   0.3191152  -0.3549053  -0.7248201   0.8919045  -0.05924906
  0.259373    0.34921753 -0.01084722 -0.01391783 -1.3482534  -0.3546848
  0.89197594  1.3580654   0.17370322  0.13157257  0.5976615  -1.2820694
 -0.6702997   0.3682196   0.44470507 -0.53415835  1.5760317  -0.299831
  0.78790265  1.6628499 ]"
EmmaStone,"[ 1.0875742   0.89060867  0.429776   -0.8006516  -1.0259721   0.9067759
  0.24524678 -0.36234826  0.03720162  2.337306   -0.8066947  -0.49727052
 -0.26662362  1.735198   -0.6201073  -0.3232087  -0.20924205 -2.115519
  0.5033325   0.63549256  1.2941375   0.03587761 -0.33456954 -0.3794288
 -0.55350393 -0.8324796   0.93917537  0.2601475   0.8392165  -0.29691875
  0.25240415  0.61176807  2.5544193  -0.61387736 -0.18368173  0.07737528
  0.33181277 -1.1663839   1.2513425   0.09933534 -0.50841814 -0.17188855
 -1.5188274  -0.5298964  -0.5687388   0.5932577  -1.4167312   0.25983113
 -0.902002   -1.8005536   0.60139227  0.96179885 -2.1942785  -0.31785986
 -0.9965702   1.5844085   1.2984872   1.0694379   0.34978744 -2.2812028
 -0.77297467  0.6977607   0.03241834 -0.02455561 -0.33944646 -0.05059779
  1.43361    -0.61105484  1.0517814  -1.8332258  -1.5434151  -1.5776966
  1.7076526  -1.1440328  -0.10725513  0.51138186  0.30290246 -1.9078392
  0.03899125 -0.8813644   1.4279528   0.42977056  1.5526403   0.37006688
 -1.2815586  -0.27118623  0.07420497  1.6415373   1.2707698   1.8009273
 -1.4083482   0.59240675  1.0445961   0.6132113   0.12408967  0.83104026
  0.69295555 -2.4013376   0.1280277   1.4549296  -2.2691443   1.054224
 -1.1902983   0.02669342  0.4786641  -0.90763664  0.8060396   1.9145133
  2.3549693  -0.02623566  0.0232819  -1.0961041  -1.2233437   0.8129275
  0.55622286  0.9977969   1.1433382   1.1625943   1.2943091  -1.8261207
 -0.7410045   1.2444828  -0.9123242   0.41632143  2.1719618   0.31134456
  0.40617952 -0.39939427]"
EmmaStone,"[ 0.49957356  0.178244   -0.8428888   0.38464952 -0.12574139  0.8022824
 -0.6399742  -0.13214627 -0.66905266  1.9467158   0.16073015 -0.6558934
 -0.3227778   0.89660406 -0.50834    -0.72021073  1.4299359  -1.6654317
  1.2654338   0.72739685  1.6454573  -0.55651945 -0.72379684 -1.4130461
 -0.5019401  -0.4879741   0.5617422   0.9621841   0.15307227 -0.6998836
  0.2623842   2.0564816   1.4785581  -0.9018316   1.057119    0.74823236
  0.4760539  -0.7445879   0.502142    0.43194327 -0.6588189   0.31096554
  0.03687589  0.1333178  -0.689138    0.86118656 -1.085967    0.668892
 -0.32713354 -1.3130883   0.7892423   1.0543203  -2.2648199   1.1319513
 -0.2717009   1.3317912  -0.9465038   0.6419064   0.20023449 -1.2687163
 -0.62969047  0.7248455   0.5170489  -0.22851175  0.08738696 -0.5742401
  0.44244534  1.0983557   1.1302263  -0.40336266 -0.8680113  -1.3291873
 -0.3877246  -0.634399    0.2189557   1.1706963   1.6331927  -1.483769
 -1.2424953  -0.08635601  1.782998    0.8108494   1.0783279  -0.04651567
 -1.596942   -0.80471176 -0.88236386  0.24160464 -0.24547932 -0.79295063
 -1.229155   -0.62313884  0.50481856 -0.12626147 -0.07479276  0.12159625
  0.5522724  -1.4625224   0.6185339   2.1840763  -2.1988533   0.8891041
 -1.0066112   0.11829359 -0.9205294  -0.69333774  1.8178468   0.5824902
  1.8745785  -0.60525084 -0.30557284 -1.4678192  -1.1997789   0.27409542
  0.28788307  0.50555134  1.0946958   1.0901378   0.44742167 -0.9325516
 -0.36687255  1.1107594   1.0693653   0.01744639  1.9804045   0.6164464
  0.59632486  1.5675548 ]"
EmmaStone,"[ 0.12747134  0.54677796  0.5501383  -0.1659053  -0.378773    0.5503844
  0.19648789 -0.5159579   0.03025365  0.98805785 -0.07247303 -1.0473967
  0.09247981  0.5753093  -0.9415473  -0.8326912  -0.01666736 -2.2055821
  0.31378633  0.35714626  2.0030632   0.10265277 -1.820397   -0.33517793
 -1.1079084  -0.27665222  0.19782566  0.35551345  0.90722185 -0.44241387
  0.25013238  1.5853751   1.4625138   0.31006497  1.1482606   0.6124485
 -0.53734064 -1.4504929   1.0526235   0.8850329   0.27562553  0.6441095
 -0.72703886 -0.19024414 -1.3890722   0.4887867  -0.894655    1.2264379
 -0.9328306  -2.0043788   0.672207    2.0658362  -1.7946246   0.5981246
 -0.38587847  1.4031901   0.5296939  -0.11737797 -0.6547332  -1.3390027
 -0.80611074 -0.20698152 -0.22267812  0.03304459 -0.0354652   0.10426588
  1.4205922   0.6210015   0.93643427 -1.1099926  -0.34345633 -1.6901522
  0.40970147 -1.2142236   0.08968116  0.91186446  0.95305514 -0.92789406
 -1.3184032  -0.45702964  2.0339148  -0.05556607  0.9625323  -0.25347412
 -0.9605372  -0.5374463  -0.65396255  0.76688004  0.43128955  0.48382387
 -1.2727194   0.43801793  1.0475829   0.44104293  0.5813213   1.2245572
  0.33362108 -1.7146618   0.28741333  1.5234045  -1.4468007   0.6694646
 -1.8227451   0.44798923 -0.5389707  -0.1789475   1.0610683   0.58911717
  1.3840387  -0.65943795 -0.13989556 -1.1277502  -0.8633988   0.04036564
  0.30213612  0.7459142   0.5825535   0.48858646  0.950478   -1.1041867
 -0.94959223  0.7054672   0.45916134 -0.64088935  2.4058132   0.9258658
  0.7038393   1.1889572 ]"
EmmaStone,"[-0.47520927  0.17519575 -0.2728949  -1.0570892  -0.9905492  -0.84324044
 -0.7710354   1.0294123   0.7836513   1.4145765  -0.44569114  0.8628224
 -0.1678485   0.94745994 -1.7619524   0.5523253  -0.38342503 -1.4913181
  0.5318767   1.1317718   1.4940867   0.27747172 -0.6322519   0.08056514
 -1.5067908  -0.66473716  0.04870071 -0.21363029  0.9730524  -1.4424669
  0.67230976  0.5168337   3.1616056  -0.05576179  0.7140916   0.7220474
 -1.1250926  -0.58699     2.0543535  -0.28007987 -1.764038    0.6602112
 -0.54277945 -1.1446238  -1.1111829   0.5336894  -2.735554    1.1242759
 -1.9764818  -0.62000525  1.2424347   1.6891503  -1.7584242   1.1769052
  0.0698875   0.5926482  -1.9751441   0.09810212 -1.4501492  -1.16865
 -0.36848593  0.8062465  -1.7340529  -0.83343726  0.9954158   0.15239133
  0.21169443  1.1306295   0.6518927   0.14274865 -0.01419997 -1.1179792
  0.10085018 -0.9839116   0.6775337  -0.21146795  0.87287927 -1.9594599
  0.66063225 -1.4220209   2.2638524   0.05193593  1.6270195  -0.23338124
 -1.1448729  -0.18066132 -0.69051635  0.6451027  -0.24602261  0.08455527
 -1.2866515   0.61990297  0.42632028  0.45187333  0.0562795   0.4689835
 -0.124841   -0.06681465  0.09697649  1.1086406  -1.4243804   1.1874043
 -1.2514794   0.85338396 -1.0413586  -0.3979187   2.0724378   0.2820335
 -0.40531826 -0.18633091  1.0053416  -0.72877455 -0.6420404  -0.8284668
  0.27829304  1.3753108   1.04635     1.1805149   0.44742578 -2.0410733
 -0.835868    0.7714783   0.47462946  0.23824427  2.399264   -0.29921567
 -0.21098542  1.6465377 ]"
EmmaStone,"[-3.9058331e-01  1.6723379e-01  1.0080000e+00 -1.4702972e+00
 -7.3305708e-01 -4.7460026e-01 -5.6096649e-01 -1.0626511e-01
  3.9035195e-01  1.9167182e+00 -5.6647426e-01  9.3354613e-01
 -3.8267648e-01  8.0763173e-01 -1.6833067e+00  4.2039061e-01
 -7.5500309e-01 -1.1065620e+00  5.4875743e-01  1.2573366e+00
  2.2382171e+00 -3.5451934e-01 -1.1506040e+00  1.2406446e-03
 -1.4709208e+00  1.7501470e-01  4.2004231e-03 -4.2487293e-02
  1.2329388e+00 -2.3595633e-01 -3.9586607e-01  5.4845190e-01
  1.4541557e+00  8.0778337e-01  2.7027872e-01  2.1297665e-01
 -1.3983672e+00 -1.6235191e-01  1.3460901e+00 -6.8221903e-01
 -6.3223898e-01  1.0049496e+00 -1.2562262e+00 -2.6553381e-02
 -2.0704076e+00 -4.4383463e-01 -1.9833364e+00  1.3284905e+00
 -1.6358671e+00 -5.1085436e-01  5.0178307e-01  3.2666996e+00
 -1.0435115e+00 -9.1911870e-01  1.0555340e+00  8.5466975e-01
 -6.8276370e-01  5.9400135e-01  1.2736624e-02 -3.6197826e-01
  1.8011317e-01  2.9787165e-01 -1.0374939e+00  1.1840497e+00
  2.9310492e-01  1.2397443e+00 -2.0876601e-02  1.0644577e+00
  1.5353183e+00  1.8041031e-02 -2.6569727e-01 -2.0974047e+00
  7.4436963e-01 -7.9114687e-01  1.2227057e+00  3.9059389e-01
 -9.6025065e-02 -1.7907749e+00 -6.9443536e-01 -1.7290431e+00
  1.0739253e+00 -7.4747884e-01  6.2286538e-01  1.1245146e+00
 -2.0896208e-01 -1.0682662e-01 -7.8318995e-01  4.8625058e-01
 -6.1723745e-01  1.5472099e-03 -1.8568945e+00  4.9478486e-01
  1.3746426e+00  6.2477481e-01  1.3358736e+00  1.9060077e-01
 -7.4182793e-02 -1.0973915e+00 -4.3095171e-01  1.5526190e-01
 -1.0832500e+00  1.6428621e+00 -2.2290969e+00  3.1742492e-01
 -9.2541337e-01 -6.2250930e-01  1.4547546e+00 -1.3287637e-01
 -5.1327741e-01 -2.5909656e-01  1.5733150e+00 -2.2384167e-02
 -6.1731935e-01  4.0172487e-01  3.8062090e-01  2.0210893e+00
  2.4117866e-01  6.7538881e-01 -1.6215903e-01 -2.8248179e-01
  1.1869489e-01  8.3503199e-01 -2.4605997e-01 -1.4391121e+00
  9.1919553e-01 -4.1016293e-01  1.2768294e+00  1.2525406e+00]"
EmmaStone,"[ 0.02393166  0.12101462  0.8617335  -0.8167816  -0.8087583  -0.68843114
  0.03626611 -0.8460607  -1.0582004   1.9608917   0.19635096 -0.03567596
 -0.787053    0.96221983  0.38193363 -0.05957522  0.3784559  -1.7634449
 -0.24948803  1.1256596   0.737219   -0.62497944 -0.7881162  -0.2716287
 -1.6998581  -0.7406907   0.47761104  0.6006006   0.77334774  0.22975971
  0.9492607   0.40934348  2.3079584   0.01909991  0.7565792   0.9173041
 -0.40544415 -1.2041849   1.9141068   0.3860767  -1.422683   -0.41835964
 -1.156973   -1.0913683  -0.08960957 -0.11123919 -1.3054864   1.2331825
 -1.7282389  -1.6860876   0.6815666   0.8236664  -2.0850377   0.9835454
 -0.651806    0.9520653   0.25418058  1.3342782  -0.2318758  -0.7996926
 -0.27948642 -0.1216598   0.05557316 -0.40285537  0.51596737  0.200475
  1.119116    0.9431456   0.88671124  0.37924534 -0.8327314  -1.5623683
  0.55915546 -0.33406734  0.00804972  0.70872164  0.8799789  -2.8860195
 -0.292949   -0.39091283  1.5289379   0.39744762  0.8101151   0.5605583
 -1.1584936  -0.68068665 -0.3426417   0.70646137  0.06037426  0.12924524
 -1.829292    0.2275799   1.2143209   0.2661872  -0.2810721  -0.31807807
 -0.01961203 -0.54154044  0.23022938  1.5144235  -1.836961    0.29453343
 -1.7432404   1.1833832   0.17675897 -0.15185046  0.74237394 -0.14571436
  1.3392727   0.23666047  0.1599555  -0.81326896 -0.79672754 -0.5650545
  0.74201876  0.5503042   0.66867685  0.7573935   0.7737214  -0.6459693
 -0.50278443  1.3688016   0.06804395 -0.7048464   1.7206042   1.1921184
  0.3527912   1.0748932 ]"
EmmaStone,"[ 0.68330514  0.7363899   0.8996464  -0.6761193  -0.7143762  -0.04304492
 -0.38008893  0.5505452  -0.08033615  1.7910627  -0.3393987  -0.6874842
 -1.139468    0.73245525 -1.1536978  -0.9740741  -0.3362423  -2.4598744
  0.18091398  0.8528631   1.8675187  -0.89263105 -0.10154723  0.6140959
 -1.1831415  -0.26911813  1.1443515   0.08904625  0.9589263  -1.1041504
 -0.48461893  1.6225286   2.1335573   0.11821369 -0.4538064   1.3296762
 -0.19676599 -1.7119876   1.0435975   0.09773638 -0.67717594  0.6394459
 -1.4808666  -0.5348592  -1.309206    0.7121217  -1.6927013   1.1714783
 -1.4295486  -2.1592095   1.315745    1.2610271  -1.3584987   0.6363548
 -0.3041084   1.4706869  -0.3318528   0.59115195 -0.76474535 -1.1908826
 -1.457189   -0.38707638 -0.3426392   0.02382016  0.03014574  0.40985852
  1.0862074   1.0321167   1.499454    0.0062697  -0.86777407 -0.7604772
  0.56404865 -0.19113687 -0.00269351  0.6663828   0.2741096  -0.95222175
 -0.8295226  -0.7964542   1.2114817  -0.17284407  1.085263   -0.448881
 -0.94942343 -0.24564224 -0.30767182 -0.03687584  0.5776689   0.39731914
 -1.0249641   0.60575795  0.75323606  0.9041128   0.12552044  0.64315784
 -0.11247182 -1.9424071  -0.02091695  1.1696357  -2.228668    0.85131145
 -1.4450121   0.10430425 -0.6648066  -0.91171134  0.73550403  0.05059245
  0.89021075  0.49795768 -0.27230042 -0.8313946  -1.0238785  -0.02117279
  0.5223746   2.3348863   0.18455777 -0.04636613  0.7478013  -1.1744094
 -1.1114818   0.05141282 -0.21053864 -0.39452183  1.9048959   0.26102144
  1.3180764   1.3281773 ]"
EmmaStone,"[ 0.05932452  0.29473943  0.03603555  0.07196096  0.05917302 -0.25972447
  0.03483059 -0.6061695   0.26074925  1.3229002   0.13196746 -0.64871275
 -0.6163396   0.3418164  -1.2854098  -0.40526736 -0.08113262 -1.7060282
  0.01350667  1.6985296   1.5449136   0.2646987  -1.2768302   0.0889513
 -0.79115134 -0.09304775  1.4321539   0.19756928  0.7701659  -0.56228846
  0.17256016  1.8827913   2.1301413   0.3242104   0.23991707  0.70651686
 -0.52691567 -0.8103736   1.7610242   0.7812209  -0.33597362 -0.1220594
 -1.3113556  -0.6349655  -1.2131593   0.16118596 -1.841163    1.0782367
 -1.0465152  -1.690098    1.145876    1.7849958  -1.3188927   0.4813234
 -0.0183184   1.1484653  -0.36895385  0.15192044 -0.47257626 -1.395923
 -0.44760066 -0.37892932 -0.84729826 -0.41626388  0.30923328  0.6035668
  1.4018193   0.5740611   1.0105568  -0.60215926 -0.73656845 -2.3796997
  0.87592256 -0.2831797   0.0614393   0.3326726   1.3436865  -1.3170224
 -0.8378294  -0.3748405   1.5760733   0.24607734  1.3155664   1.1061263
 -0.99987435  0.67296594 -0.00593356  0.36236     0.13632435  0.66789293
 -1.4296281   0.45434698  0.8644113   0.3057343   0.34532538 -0.11436854
  0.48332137 -1.8484125  -0.4037587   1.2854118  -2.4027755   0.687403
 -1.751858    0.6670366  -0.5534032  -0.50758564  1.5414306   0.4477102
  0.9488882  -0.27537003  0.5561493  -1.0827725  -0.6445166  -0.03488564
  0.75108147  1.3269072  -0.11957014  0.93048453  0.9861224  -1.1280553
 -0.832163    0.9382559  -0.19957854 -0.612009    1.7245092   0.95753056
  0.7695168   1.5837629 ]"
EmmaStone,"[ 0.98898685  0.02670813 -0.00910384 -1.0891436  -0.24181873  0.11327719
 -0.7005722  -0.1750789   0.77491456  1.3516353  -0.7093957  -0.298957
 -0.1795981   0.24986023 -1.3278333  -0.2798762  -0.29094878 -1.3098047
  1.017801    0.9326144   2.5061803  -0.31034446 -0.5764785   0.4090409
 -1.329495   -0.70663214  0.68853474 -0.20533547  0.7949421  -0.16964808
 -0.03862524  2.1194882   2.5184793   0.7065887  -0.47669896  0.41877252
 -0.21128121 -0.7998882   1.2972353   0.5382657   0.2851485   0.14056484
 -0.9989935  -0.8269947  -1.6970779   1.083788   -2.3111973   0.9340867
 -1.3385303  -1.8901064   0.25106043  1.583926   -1.9409643   1.0088067
  0.57326484  1.6403853  -1.0649432  -0.40368205 -0.7686581  -0.9652688
 -0.68833023  0.31500787 -0.6010248   0.44526672  0.18615383  0.4341761
  1.3466243   0.57958704  1.137115   -0.9252187  -0.3598392  -0.88178766
  0.9355446  -0.1969366   0.45000586  0.03125035 -0.12865697 -2.019351
 -0.8434155  -1.3745105   1.804075   -0.14944026  0.97546816  0.30893183
 -0.65128654 -0.60902566 -1.1834921   0.3568703   0.36858952  0.27501085
 -1.2598805   0.5687813   0.8487477   0.5478506   0.581197    0.3730124
  0.40693268 -1.2584556  -0.56059176  0.66314    -1.4507571   0.40224913
 -1.956973    0.24652244 -0.9472649  -0.46917057  1.2414973  -0.5012691
  0.40581456 -0.36777803  0.20302778 -0.7647323  -1.093979   -0.56962615
  0.3201398   1.0113431  -0.06254594  0.5492096   0.6998478  -0.9530761
 -0.97083855  1.1132638   0.82613575 -0.7301811   1.4202083   0.83776605
  0.97885466  1.6212507 ]"
Other,"[-0.14765787 -1.2110939  -1.0181555   0.25055915  1.8190947  -1.5324326
  0.535257   -1.9181312   0.69005096 -0.3434703  -0.199498   -0.5130463
  2.4941998   0.08563007 -0.49081674 -0.78312075  0.4621971  -1.197657
 -1.3448738  -0.6679      1.6321188  -1.4061459  -0.58688015  1.4520665
 -0.16270325  0.35682473  1.3957206  -0.05080996 -0.18526135 -0.63550293
  0.89211416  1.2771342   0.26978233  0.21377775  0.11134717  0.1620429
 -1.260494   -0.48992944  0.79595184 -0.10065004  1.8818467   1.5262345
  0.9486327  -1.2037189  -0.55218124 -1.0454136   0.7300054   0.204515
 -0.18956411  0.6287689  -1.2082516   0.03031217 -0.9236105  -1.4245546
  1.4597592   1.2841889  -0.00497187 -1.1021504   0.95303047  0.5535983
  0.25920206 -0.88139737 -0.01118618  0.37139437 -1.9738919   0.3214565
 -1.3096324  -0.2451802   1.0610104  -0.45020294 -0.34864816  0.8391987
  0.660261    0.28681523 -0.9673614  -1.0976398   0.54799855 -1.1857927
 -0.11317448 -2.680722   -0.9592749   0.14589007  0.92499846  0.8892677
  1.3905638   0.6770789   2.0652494  -1.0890397   0.83775544  0.6880052
 -1.1418597   1.601505    0.48004827  1.137297    1.6388304   0.8180941
 -0.279769    0.05185395 -1.3085816  -0.34735543  0.57289094  0.98449177
  0.45471907 -1.7745764   1.3993014  -1.2387106   1.0990374   0.8714582
 -1.09773    -1.2380419   1.5749667   0.23874286  0.30792987  0.7391711
 -0.92395556  1.4735085   0.5639274   1.4584839  -1.0495074   0.25523525
  0.28014788  1.2832812   1.4121078  -0.8634705  -1.3117859   0.10850867
  0.02300143 -1.5780458 ]"
Other,"[-0.21994328 -0.20473042 -2.7380826   0.57727784  0.68319476  0.40642416
 -1.5983903  -0.04845606 -0.28038174 -0.5806556  -0.7538232   0.8616805
 -0.02004805  0.46495453  0.48001388 -0.879777    0.7909318  -1.4792225
 -1.2197063   1.8589472   0.2482579  -0.31836063  0.7283446   0.07284283
 -0.29669735  0.16894938  1.0940087  -1.5222646  -0.44375563  1.2855384
  0.34036544  0.8015948  -1.2517695   0.01163939 -2.0528548   0.9331499
  1.404946    0.3837534  -0.3680891  -0.37360582  0.79703116  1.5121404
 -1.6812282   0.2519882  -0.45049194 -0.15343451  2.2204022  -0.33523443
 -0.16060893  1.389964   -1.2715038  -0.21055363  0.371916   -0.88396657
  0.84108865 -1.642546   -0.7083138   0.888492    1.3342608  -0.15029725
 -0.12366898 -0.6041606  -0.23440436  0.32529777 -0.02433192  0.3652135
 -0.7811278   1.8583937  -0.10898186 -0.44439864 -0.3547744   1.5427967
 -1.07886     0.7692956   0.23449554  0.9111942  -0.24086079  0.3535401
 -1.0512683  -0.9441824  -3.6324253  -0.1858156  -0.241582    2.2008069
  0.3259959   2.026986    0.3600154  -0.4469509  -1.4668063  -1.8270936
  1.8356596  -1.2124434   0.05807798 -0.9620912   0.52902806  1.0586133
  1.2006506   0.32629368 -0.30409956 -0.52684665 -0.8907712   0.9856579
 -0.5810688  -1.357385   -0.90292144 -1.6851052   0.30754933  0.2007153
  1.026602    0.57020116 -1.21933    -0.5807151   1.614615   -0.5183994
 -0.49553972  1.2903407  -2.2381995   0.10702053 -0.42684743  0.8270503
  0.48852456  0.26645815  0.25217092 -2.4909601  -0.8802342  -2.2303472
 -0.07729534 -0.01488269]"
Other,"[-0.86696815 -0.34599125  0.30155748  1.5982955   0.21793911 -0.0561595
  1.2289432  -0.39353415 -1.6292951   1.7850941  -1.0115945  -2.0781713
  1.1628349  -1.6326691  -0.03108543  1.3669009  -0.9451673  -1.0377246
  0.6885775   0.26573834  2.3106818   0.8055612  -2.207683    0.37296918
 -0.9440399  -1.1585853  -0.34100062  0.16754436  0.11232722  0.5608576
  0.06290369  0.5912957   0.6506782   0.97778964  0.25815463 -0.5876344
 -1.3964663   0.44563282 -1.5978563  -0.07676166  1.0149765   1.8025193
  0.40565956  1.3863117  -0.97325915 -0.18596351 -0.09483702  2.1347103
  0.5424361  -1.8376161  -1.5267344   0.2790238  -1.4991524   2.207136
 -0.8275543   0.00661761 -0.2722111  -0.8477381  -0.9767437  -0.4798757
 -2.2653089   0.9845131  -1.5718571   0.6015729  -0.9824092  -0.12041499
  0.7784832   0.2469573   0.5650201   1.2764944   0.6292286  -1.023545
 -0.5106429   0.26236945 -1.0185933   0.45802686 -0.18285923  1.1390867
 -1.4355875   1.7014657   1.896382   -2.522419   -0.81308573 -0.29822865
  1.3590491  -0.5491866   0.6681481  -0.40348935 -1.8274426  -0.31507626
  1.4575082   0.61842406  1.1142827   0.96313393 -0.3215923  -0.48513383
  0.26912713 -0.746031    0.53568786  0.69278294 -1.5713444  -0.43840754
 -1.4437293   0.76517284  0.36370656 -0.8224057  -0.16256472 -1.2814828
 -1.1880608   1.475705   -0.18909626 -2.3273335  -1.4839348   1.8461117
 -2.4358535  -0.55290747 -0.10965022 -1.6010491  -1.4169573   0.23178862
  1.3483248   0.20289525 -1.5763651   0.45966148  1.0359299  -0.09539309
  0.44654337  1.9637526 ]"
Other,"[-0.03339025 -0.9711503   0.98229796 -2.0070963  -0.6011868   0.05258618
 -0.2755535   1.942241   -0.81386274  0.466691    0.8422306   0.2856857
 -0.71593684  0.4882007   0.76205456  0.85648584  0.12107006  0.18559368
 -0.77347577 -0.26355547 -0.43486091 -0.86787426 -0.21719563 -0.24935392
 -0.7037659  -0.3953491   1.3269005  -0.37207067  0.764456    0.82181346
  0.39474344 -0.7264257   2.3594782  -1.1328986  -1.082773    0.7786366
  2.5857253  -1.0087136  -2.3260028  -0.62625206  0.06894    -0.5744071
 -0.5277301   0.64706516  0.1107512  -0.20409624  0.5352492  -0.46646094
  0.29482073 -0.00496018 -1.6006712  -0.746133   -0.33792144  0.12716314
 -0.1324065   1.9088112  -0.27605772  2.514121    2.2091146  -0.36670396
 -0.8617087   1.439117    1.2151833   3.3232358   0.4563475   1.921204
 -0.8601279   0.21915007  1.2719436   0.22376756 -0.24215111 -0.2091264
  0.60206527  0.2945885   0.15013734 -0.6621297  -1.755416   -1.2344055
 -0.3028886   0.7403933  -2.4678483  -0.81710196  0.0991036   0.36560142
  1.9510623  -1.2860931  -0.99292433  1.1554207   0.7950423   0.23234229
 -1.4965961  -0.6147522  -0.30577227 -0.69438046 -0.9645015   0.29518119
 -0.13059632 -1.9265329   1.1540482   0.47995204 -1.4295616   1.1506734
  1.0172355   1.1384946   0.45019317  0.92818344  0.20894149  0.20709427
  1.3154104   1.2062899   0.7915603  -0.7449732   0.14218268  1.224646
 -0.14668891  0.5921637   1.8861024  -0.23664385 -0.02720505 -1.4632841
  2.0635638   0.41651073 -0.5910766  -0.99559414 -2.1724515   0.05568167
  0.55930483 -0.37499255]"
Other,"[-0.90632284 -1.0793096   1.3716791   0.37761614 -0.83580285  0.33596775
  0.21189402 -2.5190196   0.970151    0.6949808  -0.3294222   0.14552131
  1.4521928  -1.3173015  -0.55369604  1.5215981  -1.7125826  -0.169132
 -1.3787249   0.20460823  0.5535741  -0.396772   -0.0677456  -0.62856734
 -0.8025771  -1.741457    1.3713019   0.5792368   0.1414167   1.1569146
  0.28551346 -0.5866944   1.4143554   0.46559447 -1.4179611  -1.1016043
 -0.42071077  0.7787494   0.44570228  0.59146154  1.508234   -1.674305
 -1.3977593  -0.21511294  0.19684476 -1.4374664  -0.68697494  0.87369287
  1.885734   -1.1597002  -0.4656601   0.3990775  -0.568528   -0.7360905
  0.80391234  0.72807485  0.7368249   0.38113338  0.7133292   0.1586422
 -0.4466443   0.30506212 -2.6522808   0.5926032   0.33842432  1.4066734
  1.312585   -1.2856383  -1.0178845  -1.8131751  -1.6283424  -1.8525
  2.8452477   0.24891542  0.9414071   0.45435548 -1.810415   -0.26275146
 -0.08543551 -0.5449619  -0.1730079   0.01688643  1.1453224   1.1305188
  0.45860586  0.19523692 -0.3110002   2.1423817  -0.3922091   2.0198426
 -0.22400588  1.104814    1.5804448  -0.30200335  0.8229559   1.2962923
 -1.378297   -0.26123723 -0.33220783 -0.87810516 -0.14808165 -1.0363951
 -2.118774   -0.23198609  0.90326434  0.22693302  0.86575246  1.7133093
  0.7779102  -1.1178229   0.618039    0.32187283 -1.189341   -0.7402919
 -0.17463446  1.0695263   0.9095744   0.12826037 -1.0528471  -0.00350758
  1.8457402  -1.6394756  -0.49425757 -0.44725394  0.18273619  0.1343056
  0.3384233  -0.17212716]"
